epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91964,0.82253,2.64175,2.8112,1.27369,0.85349,0.78724,0.85806,0.59561,0.84372,0.77823,0.83628,0.6991,0.8182,1.17218,6.80124,1.32552,0.00014,0.00014,0.00014
2,3.41879,0.69681,1.36827,1.53355,1.12828,0.73376,0.61261,0.70277,0.52957,0.6043,0.58559,0.53421,0.28374,0.90109,3.91102,2.67507,1.49112,0.000299406,0.000299406,0.000299406
3,4.90454,0.74944,1.28319,1.1774,1.15325,0.94927,0.84299,0.90863,0.67958,0.94927,0.84299,0.88456,0.69307,0.91863,1.96461,1.78541,1.47912,0.000458178,0.000458178,0.000458178
4,6.40109,0.67473,1.08011,1.10844,1.12107,0.61134,0.86486,0.8623,0.60271,0.5795,0.81982,0.81459,0.50956,1.05119,4.07981,4.78043,1.9061,0.000616317,0.000616317,0.000616317
5,7.89902,0.75226,1.28543,0.99506,1.14846,0.36821,0.4955,0.41762,0.3024,0.29457,0.3964,0.28527,0.1371,1.39787,6.09345,4.44878,2.46267,0.000773822,0.000773822,0.000773822
6,9.34113,0.79972,1.40628,0.87446,1.16549,0.39842,0.83784,0.68902,0.45551,0.35129,0.73874,0.58024,0.28629,1.18835,13.1611,5.31376,2.03264,0.000930694,0.000930694,0.000930694
7,10.7676,0.78874,1.29784,0.7965,1.15247,0.50179,0.87387,0.76494,0.38533,0.33108,0.57658,0.408,0.14382,1.4467,19.4603,5.11028,2.80434,0.00108693,0.00108693,0.00108693
8,12.1964,0.79808,1.447,0.82395,1.1674,0.38375,0.75676,0.6076,0.29518,0.2604,0.51351,0.32618,0.10665,1.79321,42.6209,5.9992,3.1223,0.00124254,0.00124254,0.00124254
9,13.6334,0.85836,1.45271,0.87475,1.19726,0.25662,0.61261,0.32426,0.13875,0.18492,0.44144,0.1971,0.06664,2.10362,26.5657,7.6395,3.68209,0.00139751,0.00139751,0.00139751
10,15.0797,0.93307,1.53804,0.92641,1.211,0.11671,0.05405,0.01409,0.00438,0.00198,0.01802,0.00017,5e-05,4.19452,76.9542,9.35443,14.4689,0.00155184,0.00155184,0.00155184
11,16.5107,0.93879,1.53173,1.03144,1.20448,0.04586,0.33333,0.03114,0.00939,0.05405,0.01802,0.00276,0.00078,2.73803,82.3128,18.3963,8.67047,0.00170555,0.00170555,0.00170555
12,17.9636,1.01979,1.44407,1.01383,1.2822,0.01931,0.56757,0.02558,0.0053,0.01245,0.02703,0.00176,0.00025,2.86853,86.558,109.502,7.88579,0.00185862,0.00185862,0.00185862
13,19.4483,0.92269,1.42961,0.88472,1.2245,0.12368,0.73874,0.11392,0.04078,0.07692,0.45946,0.05972,0.01506,2.2094,21.9603,145.986,5.998,0.00195248,0.00195248,0.00195248
14,20.8836,0.83918,1.20476,0.76878,1.20177,0.11481,0.96396,0.51669,0.21657,0.0794,0.66667,0.26755,0.08976,1.49561,19.1417,28.8416,2.2362,0.00194852,0.00194852,0.00194852
15,22.3352,0.91083,1.52956,0.83165,1.20125,0.09301,0.76577,0.36995,0.14227,0.06675,0.54955,0.15091,0.03661,2.06241,14.085,25.8048,3.13251,0.00194456,0.00194456,0.00194456
16,23.7668,0.93876,1.4431,0.87549,1.2288,0.19111,0.69369,0.38458,0.13741,0.1514,0.54955,0.26224,0.06834,2.08755,7.04751,14.0119,3.01691,0.0019406,0.0019406,0.0019406
17,25.194,0.86059,1.14362,0.74167,1.17294,0.34355,0.78378,0.50052,0.22951,0.25465,0.56757,0.33525,0.12121,1.51043,6.37682,7.75316,2.1602,0.00193664,0.00193664,0.00193664
18,26.6184,0.84576,1.11368,0.77278,1.19,0.58269,0.72072,0.68777,0.39954,0.50181,0.61261,0.53332,0.21701,1.40693,6.61949,2.5466,2.12708,0.00193268,0.00193268,0.00193268
19,28.0415,0.87362,1.25552,0.69657,1.18561,0.41469,0.7027,0.53308,0.27905,0.40815,0.54673,0.48638,0.24696,1.6743,6.04705,3.29157,2.36946,0.00192872,0.00192872,0.00192872
20,29.5131,0.78422,1.27267,0.71256,1.1613,0.3943,0.72072,0.36037,0.18181,0.31397,0.54837,0.22394,0.09809,1.63533,9.45154,2.40758,2.30371,0.00192476,0.00192476,0.00192476
21,30.9323,0.88726,1.282,0.81084,1.19419,0.69058,0.68468,0.75842,0.39749,0.68588,0.64915,0.66987,0.37267,1.5229,3.36882,1.96604,2.03261,0.0019208,0.0019208,0.0019208
22,32.3451,0.81069,1.23133,0.72887,1.16545,0.46448,0.60951,0.50652,0.26194,0.43702,0.57347,0.45504,0.24517,1.42764,3.177,3.32551,1.88165,0.00191684,0.00191684,0.00191684
23,33.7627,0.78994,1.26704,0.68071,1.14705,0.65791,0.74775,0.69693,0.44118,0.62544,0.63184,0.59781,0.24958,1.35256,5.16803,1.29355,1.94994,0.00191288,0.00191288,0.00191288
24,35.187,0.78545,1.23068,0.70738,1.13912,0.66826,0.8018,0.75048,0.52832,0.62057,0.79279,0.69403,0.43567,1.14953,3.56794,2.01826,1.78233,0.00190892,0.00190892,0.00190892
25,36.6077,0.81513,1.4052,0.70619,1.14786,0.66322,0.72741,0.71865,0.53065,0.66381,0.69369,0.67665,0.46753,1.18172,4.78732,2.25159,1.85464,0.00190496,0.00190496,0.00190496
26,38.0284,0.7814,1.10363,0.62295,1.13881,0.73438,0.77218,0.79033,0.58853,0.74195,0.76577,0.75793,0.51046,1.08466,4.88942,2.13204,1.6152,0.001901,0.001901,0.001901
27,39.4491,0.76173,1.24535,0.61658,1.13634,0.57708,0.62695,0.62742,0.31512,0.5999,0.61261,0.60473,0.29512,1.63572,4.14307,2.92275,2.1338,0.00189704,0.00189704,0.00189704
28,40.9181,0.76457,1.11395,0.63947,1.12078,0.68019,0.77477,0.75978,0.49235,0.65902,0.75676,0.7111,0.42985,1.17554,3.28968,1.86606,1.72198,0.00189308,0.00189308,0.00189308
29,42.3348,0.73813,1.10031,0.62776,1.13432,0.83772,0.88288,0.94814,0.76398,0.83772,0.88288,0.94776,0.76072,0.84159,1.34133,1.04414,1.34308,0.00188912,0.00188912,0.00188912
30,43.7794,0.73267,1.22992,0.63131,1.11699,0.86562,0.87053,0.92956,0.69419,0.88331,0.88655,0.95238,0.76603,0.99806,1.20515,1.00642,1.46566,0.00188516,0.00188516,0.00188516
31,45.2071,0.68755,1.04788,0.60507,1.0827,0.84294,0.77477,0.88915,0.6943,0.84294,0.77477,0.87912,0.65977,0.86873,1.93814,1.16154,1.3634,0.0018812,0.0018812,0.0018812
32,46.6192,0.67975,1.08345,0.56546,1.07754,0.96239,0.92215,0.9869,0.79629,0.96713,0.91892,0.97561,0.72672,0.77992,2.23805,0.74116,1.28139,0.00187724,0.00187724,0.00187724
33,48.0374,0.67111,1.04228,0.5214,1.05857,0.67454,0.8018,0.82752,0.67563,0.68217,0.78378,0.76935,0.57294,0.82828,6.0609,1.55957,1.28315,0.00187328,0.00187328,0.00187328
34,49.4647,0.66882,1.02243,0.56295,1.08767,0.87608,0.86486,0.95599,0.79399,0.88521,0.87387,0.95782,0.77292,0.76273,1.2904,0.8244,1.18196,0.00186932,0.00186932,0.00186932
35,50.9583,0.67075,0.9594,0.54673,1.06694,0.89852,0.8775,0.96118,0.80424,0.89852,0.8775,0.94559,0.78329,0.74138,1.24526,0.83839,1.23614,0.00186536,0.00186536,0.00186536
36,52.4075,0.74481,1.11906,0.59265,1.08922,0.93088,0.97063,0.98026,0.80252,0.93088,0.97063,0.97876,0.80096,0.82794,1.22329,0.70669,1.28205,0.0018614,0.0018614,0.0018614
37,53.8705,0.7407,1.11115,0.62914,1.09955,0.88407,0.87387,0.95939,0.77953,0.87982,0.85586,0.95848,0.7541,0.78143,1.48685,0.80707,1.26876,0.00185744,0.00185744,0.00185744
38,55.3149,0.70156,0.98694,0.55626,1.0983,0.99057,0.94591,0.9875,0.77665,0.98715,0.93694,0.97728,0.80881,0.8217,1.015,0.92702,1.28099,0.00185348,0.00185348,0.00185348
39,56.753,0.68309,1.03467,0.56472,1.09869,0.99065,0.95491,0.99121,0.82549,0.99065,0.95491,0.99128,0.84656,0.73127,0.82387,0.7626,1.18454,0.00184952,0.00184952,0.00184952
40,58.2025,0.66437,0.92904,0.5233,1.09031,0.98385,0.92793,0.98765,0.87076,0.98385,0.92793,0.96182,0.81811,0.58621,1.37465,0.69497,1.05531,0.00184556,0.00184556,0.00184556
41,59.6494,0.65471,0.93765,0.52186,1.04846,0.99071,0.96121,0.98621,0.85493,0.97898,0.92793,0.95449,0.81863,0.58523,1.18485,0.67529,1.06021,0.0018416,0.0018416,0.0018416
42,61.0788,0.63171,0.90591,0.5015,1.02805,0.90166,0.89189,0.95141,0.79751,0.90564,0.89189,0.91872,0.74705,0.70176,1.45435,0.99401,1.18115,0.00183764,0.00183764,0.00183764
43,62.5389,0.62387,0.90395,0.49211,1.04586,0.88077,0.86517,0.91707,0.7437,0.96726,0.79846,0.88863,0.70104,0.77641,1.69396,0.96111,1.24801,0.00183368,0.00183368,0.00183368
44,63.9465,0.64886,1.04027,0.51635,1.04777,0.85881,0.90991,0.94757,0.83342,0.85031,0.9009,0.92619,0.72111,0.61383,1.86298,0.78876,1.0716,0.00182972,0.00182972,0.00182972
45,65.3689,0.60526,0.95366,0.49085,1.01876,0.99089,0.98008,0.99446,0.86102,0.99089,0.98008,0.99446,0.85904,0.62792,0.79031,0.50644,1.09856,0.00182576,0.00182576,0.00182576
46,66.8145,0.64805,0.93587,0.54539,1.05064,0.98509,0.97297,0.99429,0.85559,0.98509,0.97297,0.99429,0.89109,0.64569,0.76303,0.4817,1.08839,0.0018218,0.0018218,0.0018218
47,68.2656,0.62766,1.05974,0.521,1.04146,0.98176,0.95495,0.9918,0.81828,0.98176,0.95495,0.9909,0.86428,0.73457,0.73828,0.65411,1.18953,0.00181784,0.00181784,0.00181784
48,69.7019,0.65102,0.98347,0.56225,1.08978,0.9667,0.96396,0.99243,0.8576,0.98018,0.95495,0.98318,0.87089,0.64724,0.92608,0.56563,1.1356,0.00181388,0.00181388,0.00181388
49,71.1364,0.63904,1.10358,0.56053,1.04254,0.86545,0.91892,0.93674,0.7814,0.86524,0.87387,0.90042,0.72343,0.69693,2.19013,0.71137,1.18926,0.00180992,0.00180992,0.00180992
50,72.581,0.62836,1.09228,0.5737,1.0648,0.89966,0.88853,0.95628,0.82231,0.95299,0.81081,0.90403,0.74756,0.638,2.03831,0.66944,1.12427,0.00180596,0.00180596,0.00180596
51,74.0309,0.60911,0.97729,0.50651,1.03801,0.99094,0.98531,0.99482,0.86389,0.99613,0.97297,0.99447,0.81847,0.60023,1.07526,0.59719,1.07093,0.001802,0.001802,0.001802
52,75.4648,0.58777,1.0309,0.48763,1.03356,0.97349,0.99237,0.99409,0.87391,0.968,0.98198,0.99392,0.89238,0.6123,0.69124,0.75877,1.08079,0.00179804,0.00179804,0.00179804
53,76.9001,0.59092,0.90985,0.4857,1.04813,0.99716,0.98198,0.99473,0.86598,0.99716,0.98198,0.99473,0.86088,0.59134,0.88322,0.53997,1.06165,0.00179408,0.00179408,0.00179408
54,78.3203,0.63449,0.99843,0.50714,1.04235,0.98516,0.92793,0.97158,0.81201,0.9756,0.91892,0.93322,0.70374,0.6798,1.68987,0.64081,1.17095,0.00179012,0.00179012,0.00179012
55,79.737,0.62236,0.95035,0.47655,1.01815,0.93947,0.97883,0.99047,0.854,0.93947,0.97883,0.99047,0.84279,0.65125,0.93503,0.54961,1.12937,0.00178616,0.00178616,0.00178616
56,81.1472,0.61878,0.94858,0.46006,1.04787,0.99001,0.94595,0.99243,0.87617,0.99001,0.94595,0.99243,0.8854,0.55627,0.7749,0.50623,1.01191,0.0017822,0.0017822,0.0017822
57,82.5728,0.59683,0.86355,0.4453,1.01937,0.93201,0.98797,0.98882,0.83727,0.93201,0.98797,0.98882,0.87951,0.64723,0.70683,0.58194,1.09655,0.00177824,0.00177824,0.00177824
58,84.0386,0.63766,0.93281,0.51614,1.04835,0.91622,0.97297,0.9869,0.803,0.91622,0.97297,0.9869,0.83128,0.68364,0.8131,0.59358,1.17285,0.00177428,0.00177428,0.00177428
59,85.4498,0.63268,0.98008,0.50679,1.0575,0.9814,0.95081,0.99158,0.8141,0.9814,0.95081,0.99158,0.84109,0.63969,0.80382,0.55389,1.12381,0.00177032,0.00177032,0.00177032
60,86.8606,0.61301,1.00668,0.51282,1.03468,0.98227,0.99799,0.99437,0.8739,0.98227,0.99799,0.99437,0.89828,0.57087,0.69562,0.43328,1.02637,0.00176636,0.00176636,0.00176636
61,88.2897,0.62838,0.93886,0.4752,1.02992,0.99531,0.99099,0.995,0.8927,0.99531,0.99099,0.995,0.88842,0.54868,0.72265,0.4231,1.02685,0.0017624,0.0017624,0.0017624
62,89.768,0.57005,0.98134,0.42802,1.02405,0.99843,0.98198,0.99491,0.89195,0.99843,0.98198,0.99473,0.92481,0.55792,0.61899,0.41397,1.02816,0.00175844,0.00175844,0.00175844
63,91.2313,0.55742,0.82727,0.42789,1.00013,1,0.99785,0.995,0.89545,1,0.99785,0.995,0.92152,0.56833,0.59174,0.41413,1.03919,0.00175448,0.00175448,0.00175448
64,92.6691,0.62453,0.89572,0.46384,1.04573,0.99782,0.98198,0.99465,0.84924,0.99782,0.98198,0.99491,0.88153,0.67142,0.63533,0.51894,1.13038,0.00175052,0.00175052,0.00175052
65,94.1545,0.6498,0.93577,0.47326,1.05144,0.9003,0.94595,0.95929,0.77679,0.90813,0.91892,0.93153,0.77384,0.76495,1.11267,0.72425,1.22131,0.00174656,0.00174656,0.00174656
66,95.5976,0.63518,0.87831,0.47994,1.03384,0.93819,0.96396,0.98676,0.80538,0.93819,0.96396,0.98676,0.85363,0.73494,0.78458,0.63591,1.19052,0.0017426,0.0017426,0.0017426
67,97.0112,0.63849,0.93248,0.47089,1.06642,0.98784,1,0.995,0.85351,0.97894,0.99099,0.99473,0.8845,0.62016,0.61513,0.51377,1.08647,0.00173864,0.00173864,0.00173864
68,98.4224,0.62587,0.84618,0.46912,1.04145,0.99969,1,0.995,0.89959,0.99969,1,0.995,0.92323,0.50689,0.53885,0.41378,0.97931,0.00173468,0.00173468,0.00173468
69,99.8618,0.62015,0.95305,0.48738,1.02236,0.98708,1,0.99491,0.89643,0.98708,1,0.99491,0.91589,0.52181,0.60954,0.41787,1.00118,0.00173072,0.00173072,0.00173072
70,101.275,0.54516,0.90685,0.45339,0.99654,0.99851,0.99099,0.995,0.89685,0.99851,0.99099,0.995,0.91325,0.56865,0.62735,0.69814,1.04449,0.00172676,0.00172676,0.00172676
71,102.693,0.58428,0.8347,0.46723,0.98195,0.99877,0.98198,0.99491,0.88106,0.99877,0.98198,0.99491,0.87131,0.57341,0.81245,0.72089,1.05018,0.0017228,0.0017228,0.0017228
72,104.107,0.55352,0.88284,0.46436,1.02799,0.9996,0.96396,0.98432,0.86717,0.96221,0.90991,0.9254,0.78897,0.6012,1.6813,0.65698,1.06122,0.00171884,0.00171884,0.00171884
73,105.568,0.6147,0.87059,0.4727,1.02521,0.95495,0.95489,0.97067,0.82954,0.92658,0.90951,0.91251,0.72469,0.63184,3.10835,0.57069,1.08918,0.00171488,0.00171488,0.00171488
74,106.979,0.63008,0.92145,0.47869,1.05712,0.97201,0.93851,0.98919,0.8672,0.99046,0.93535,0.96812,0.84102,0.54934,1.27237,0.47644,1.053,0.00171092,0.00171092,0.00171092
75,108.395,0.63179,0.91149,0.47986,1.05082,0.93226,0.84685,0.95219,0.76902,0.94902,0.81982,0.90184,0.7548,0.77857,1.43105,0.6688,1.24363,0.00170696,0.00170696,0.00170696
76,109.81,0.58889,0.88395,0.47433,1.01922,0.96704,0.99099,0.99301,0.87492,0.96704,0.99099,0.99301,0.91777,0.57552,0.55906,0.45719,1.02045,0.001703,0.001703,0.001703
77,111.229,0.63174,0.83074,0.47698,1.02538,0.97196,0.98198,0.99348,0.87755,0.97196,0.98198,0.99348,0.89368,0.56633,0.65141,0.43767,1.01439,0.00169904,0.00169904,0.00169904
78,112.65,0.57684,0.85089,0.45279,1.01813,0.96441,0.97638,0.99293,0.85597,0.96441,0.97638,0.99293,0.89327,0.59805,0.59769,0.4967,1.06148,0.00169508,0.00169508,0.00169508
79,114.072,0.58821,0.81577,0.47179,1.01944,0.97261,0.95976,0.99326,0.89542,0.97261,0.95976,0.99326,0.9094,0.53585,0.56294,0.43821,0.99978,0.00169112,0.00169112,0.00169112
80,115.539,0.62353,0.94056,0.48313,1.04489,0.9881,0.96396,0.99028,0.87064,0.9881,0.96396,0.98578,0.86448,0.53954,0.81363,0.45035,1.00037,0.00168716,0.00168716,0.00168716
81,116.954,0.59446,0.8326,0.47358,1.0194,0.97059,0.89188,0.94876,0.81635,0.94071,0.85586,0.89738,0.79411,0.66787,1.52676,0.62773,1.17692,0.0016832,0.0016832,0.0016832
82,118.369,0.57094,0.92562,0.45924,1.0197,0.93161,0.88288,0.93137,0.80427,0.92806,0.84685,0.88007,0.77404,0.67366,1.68703,0.71801,1.17763,0.00167924,0.00167924,0.00167924
83,119.784,0.59946,0.87451,0.46993,1.04054,0.99751,1,0.995,0.88802,0.99106,0.99898,0.99491,0.89225,0.52583,0.70069,0.41646,0.98865,0.00167528,0.00167528,0.00167528
84,121.193,0.61542,0.89625,0.4898,1.07402,0.99125,0.99099,0.995,0.8843,0.98475,0.98198,0.99417,0.88615,0.56762,0.70934,0.47247,1.0172,0.00167132,0.00167132,0.00167132
